,puntos_turisticos,viajeros_y_pernoctaciones,residencia,periodo,total
3552,03063 D̩nia,Viajero,Residentes en el Extranjero,2017M12,
3553,03063 D̩nia,Viajero,Residentes en el Extranjero,2017M11,
3554,03063 D̩nia,Viajero,Residentes en el Extranjero,2017M10,
3561,03063 D̩nia,Viajero,Residentes en el Extranjero,2017M03,
3562,03063 D̩nia,Viajero,Residentes en el Extranjero,2017M02,
3563,03063 D̩nia,Viajero,Residentes en el Extranjero,2017M01,
3564,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M12,
3565,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M11,
3566,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M10,
3571,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M05,
3572,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M04,
3573,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M03,
3574,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M02,
3575,03063 D̩nia,Viajero,Residentes en el Extranjero,2016M01,
3576,03063 D̩nia,Viajero,Residentes en el Extranjero,2015M12,
3577,03063 D̩nia,Viajero,Residentes en el Extranjero,2015M11,
3586,03063 D̩nia,Viajero,Residentes en el Extranjero,2015M02,
3587,03063 D̩nia,Viajero,Residentes en el Extranjero,2015M01,
3588,03063 D̩nia,Viajero,Residentes en el Extranjero,2014M12,
3598,03063 D̩nia,Viajero,Residentes en el Extranjero,2014M02,
3599,03063 D̩nia,Viajero,Residentes en el Extranjero,2014M01,
3600,03063 D̩nia,Viajero,Residentes en el Extranjero,2013M12,
3601,03063 D̩nia,Viajero,Residentes en el Extranjero,2013M11,
3610,03063 D̩nia,Viajero,Residentes en el Extranjero,2013M02,
3611,03063 D̩nia,Viajero,Residentes en el Extranjero,2013M01,
3612,03063 D̩nia,Viajero,Residentes en el Extranjero,2012M12,
3613,03063 D̩nia,Viajero,Residentes en el Extranjero,2012M11,
3622,03063 D̩nia,Viajero,Residentes en el Extranjero,2012M02,
3623,03063 D̩nia,Viajero,Residentes en el Extranjero,2012M01,
3624,03063 D̩nia,Viajero,Residentes en el Extranjero,2011M12,
3625,03063 D̩nia,Viajero,Residentes en el Extranjero,2011M11,
3634,03063 D̩nia,Viajero,Residentes en el Extranjero,2011M02,
3635,03063 D̩nia,Viajero,Residentes en el Extranjero,2011M01,
3636,03063 D̩nia,Viajero,Residentes en el Extranjero,2010M12,
3637,03063 D̩nia,Viajero,Residentes en el Extranjero,2010M11,
3647,03063 D̩nia,Viajero,Residentes en el Extranjero,2010M01,
3658,03063 D̩nia,Viajero,Residentes en el Extranjero,2009M02,
3659,03063 D̩nia,Viajero,Residentes en el Extranjero,2009M01,
3683,03063 D̩nia,Viajero,Residentes en el Extranjero,2007M01,
3684,03063 D̩nia,Viajero,Residentes en el Extranjero,2006M12,
3685,03063 D̩nia,Viajero,Residentes en el Extranjero,2006M11,
3695,03063 D̩nia,Viajero,Residentes en el Extranjero,2006M01,
3697,03063 D̩nia,Viajero,Residentes en el Extranjero,2005M11,
3707,03063 D̩nia,Viajero,Residentes en el Extranjero,2005M01,
3708,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2022M02,
3709,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2022M01,
3710,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2021M12,
3718,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2021M04,
3719,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2021M03,
3720,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2021M02,
3721,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2021M01,
3722,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2020M12,
3746,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2018M12,
3747,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2018M11,
3756,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2018M02,
3757,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2018M01,
3758,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2017M12,
3759,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2017M11,
3760,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2017M10,
3767,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2017M03,
3768,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2017M02,
3769,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2017M01,
3770,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M12,
3771,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M11,
3772,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M10,
3777,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M05,
3778,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M04,
3779,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M03,
3780,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M02,
3781,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2016M01,
3782,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2015M12,
3783,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2015M11,
3792,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2015M02,
3793,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2015M01,
3794,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2014M12,
3804,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2014M02,
3805,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2014M01,
3806,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2013M12,
3807,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2013M11,
3816,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2013M02,
3817,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2013M01,
3818,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2012M12,
3819,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2012M11,
3828,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2012M02,
3829,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2012M01,
3830,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2011M12,
3831,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2011M11,
3840,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2011M02,
3841,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2011M01,
3842,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2010M12,
3843,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2010M11,
3853,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2010M01,
3864,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2009M02,
3865,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2009M01,
3889,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2007M01,
3890,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2006M12,
3891,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2006M11,
3901,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2006M01,
3903,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2005M11,
3913,03063 D̩nia,Pernoctaciones,Residentes en Espa̱a,2005M01,
3914,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2022M02,
3915,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2022M01,
3916,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2021M12,
3924,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2021M04,
3925,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2021M03,
3926,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2021M02,
3927,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2021M01,
3928,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2020M12,
3952,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2018M12,
3953,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2018M11,
3962,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2018M02,
3963,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2018M01,
3964,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2017M12,
3965,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2017M11,
3966,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2017M10,
3973,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2017M03,
3974,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2017M02,
3975,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2017M01,
3976,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M12,
3977,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M11,
3978,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M10,
3983,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M05,
3984,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M04,
3985,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M03,
3986,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M02,
3987,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2016M01,
3988,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2015M12,
3989,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2015M11,
3998,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2015M02,
3999,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2015M01,
4000,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2014M12,
4010,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2014M02,
4011,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2014M01,
4012,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2013M12,
4013,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2013M11,
4022,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2013M02,
4023,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2013M01,
4024,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2012M12,
4025,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2012M11,
4034,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2012M02,
4035,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2012M01,
4036,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2011M12,
4037,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2011M11,
4046,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2011M02,
4047,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2011M01,
4048,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2010M12,
4049,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2010M11,
4059,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2010M01,
4070,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2009M02,
4071,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2009M01,
4095,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2007M01,
4096,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2006M12,
4097,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2006M11,
4107,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2006M01,
4109,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2005M11,
4119,03063 D̩nia,Pernoctaciones,Residentes en el Extranjero,2005M01,
4158,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2018M12,
4169,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2018M01,
4194,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2015M12,
4205,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2015M01,
4230,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M12,
4231,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M11,
4232,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M10,
4233,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M09,
4234,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M08,
4235,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M07,
4236,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M06,
4237,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M05,
4238,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M04,
4239,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M03,
4240,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M02,
4241,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2012M01,
4242,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M12,
4243,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M11,
4244,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M10,
4245,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M09,
4246,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M08,
4247,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M07,
4248,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M06,
4249,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M05,
4250,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M04,
4251,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M03,
4252,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M02,
4253,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2011M01,
4254,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M12,
4255,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M11,
4256,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M10,
4257,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M09,
4258,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M08,
4259,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M07,
4260,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M06,
4261,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M05,
4262,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M04,
4263,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M03,
4264,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M02,
4265,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2010M01,
4266,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M12,
4267,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M11,
4268,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M10,
4269,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M09,
4270,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M08,
4271,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M07,
4272,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M06,
4273,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M05,
4274,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M04,
4275,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M03,
4276,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M02,
4277,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2009M01,
4278,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M12,
4279,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M11,
4280,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M10,
4281,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M09,
4282,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M08,
4283,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M07,
4284,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M06,
4285,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M05,
4286,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M04,
4287,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M03,
4288,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M02,
4289,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2008M01,
4290,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2007M12,
4291,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2007M11,
4292,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2007M10,
4293,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2007M09,
4294,03065 Elche/Elx,Viajero,Residentes en Espa̱a,2007M08,
