,periodo,georeferenced_column,latitude,longitude,fecha
1222,2019-01-01 00:00,"(19.4326296, -99.1331785)",19.4326296,-99.1331785,8
1223,2019-01-01 00:00,"(19.5408338, -96.9146374)",19.5408338,-96.9146374,1
1224,2019-01-01 00:00,"(20.9876996, -101.0)",20.9876996,-101.0,1
1225,2019-01-01 00:00,"(21.533030099999998, -101.81995710355704)",21.5330301,-101.81995710355704,1
1226,2019-01-01 00:00,"(25.6802019, -100.315258)",25.6802019,-100.315258,1
1227,2019-01-01 00:00,"(28.1288694, -15.4349015)",28.1288694,-15.4349015,1
1228,2019-01-01 00:00,"(28.2935785, -16.621447121144122)",28.2935785,-16.621447121144122,2
1229,2019-01-01 00:00,"(28.4857715, -16.3159422)",28.4857715,-16.3159422,1
1230,2019-01-01 00:00,"(31.79592425, 35.21198075969497)",31.79592425,35.21198075969497,2
1231,2019-01-01 00:00,"(32.0852997, 34.7818064)",32.0852997,34.7818064,1
1232,2019-01-01 00:00,"(35.2918698, -2.9409026)",35.2918698,-2.9409026,1
1233,2019-01-01 00:00,"(36.5297438, -6.2928976)",36.5297438,-6.2928976,5
1234,2019-01-01 00:00,"(36.597246, -6.2243066)",36.597246,-6.2243066,2
1235,2019-01-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,1
1236,2019-01-01 00:00,"(36.7450888, -3.5207655)",36.7450888,-3.5207655,1
1237,2019-01-01 00:00,"(37.0183652, -4.5596649)",37.0183652,-4.5596649,1
1238,2019-01-01 00:00,"(37.1734995, -3.5995337)",37.1734995,-3.5995337,3
1239,2019-01-01 00:00,"(37.2575874, -6.9484945)",37.2575874,-6.9484945,2
1240,2019-01-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,7
1241,2019-01-01 00:00,"(37.8845813, -4.7760138)",37.8845813,-4.7760138,2
1242,2019-01-01 00:00,"(37.9923795, -1.1305431)",37.9923795,-1.1305431,3
1243,2019-01-01 00:00,"(38.2653307, -0.6988391)",38.2653307,-0.6988391,1
1244,2019-01-01 00:00,"(38.3436365, -0.4881708)",38.3436365,-0.4881708,2
1245,2019-01-01 00:00,"(38.4253489, -6.4193627)",38.4253489,-6.4193627,1
1246,2019-01-01 00:00,"(38.5241783, -8.8932341)",38.5241783,-8.8932341,1
1247,2019-01-01 00:00,"(38.7077507, -9.1365919)",38.7077507,-9.1365919,3
1248,2019-01-01 00:00,"(38.9880745, -0.5199747)",38.9880745,-0.5199747,1
1249,2019-01-01 00:00,"(39.3260685, -4.8379791)",39.3260685,-4.8379791,31
1250,2019-01-01 00:00,"(39.4697065, -0.3763353)",39.4697065,-0.3763353,3
1251,2019-01-01 00:00,"(39.5618041, 3.2328424)",39.5618041,3.2328424,1
1252,2019-01-01 00:00,"(39.5695818, 2.6500745)",39.5695818,2.6500745,1
1253,2019-01-01 00:00,"(39.613432, 2.880353635614984)",39.613432,2.880353635614984,2
1254,2019-01-01 00:00,"(39.8125272, -2.1470902)",39.8125272,-2.1470902,1
1255,2019-01-01 00:00,"(39.9337077, 4.1397673)",39.9337077,4.1397673,1
1256,2019-01-01 00:00,"(4.427422, -75.718709)",4.427422,-75.718709,1
1257,2019-01-01 00:00,"(4.6533326, -74.083652)",4.6533326,-74.083652,4
1258,2019-01-01 00:00,"(40.0681156, -2.1348241)",40.0681156,-2.1348241,1
1259,2019-01-01 00:00,"(40.25185675, -0.061505110105748245)",40.25185675,-0.0615051101057482,2
1260,2019-01-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,33
1261,2019-01-01 00:00,"(40.4818396, -3.3644973)",40.4818396,-3.3644973,1
1262,2019-01-01 00:00,"(40.656478, -4.7002172)",40.656478,-4.7002172,1
1263,2019-01-01 00:00,"(40.9502159, -4.1241494)",40.9502159,-4.1241494,3
1264,2019-01-01 00:00,"(40.9651572, -5.6640182)",40.9651572,-5.6640182,2
1265,2019-01-01 00:00,"(41.1172364, 1.2546057)",41.1172364,1.2546057,4
1266,2019-01-01 00:00,"(41.1494512, -8.6107884)",41.1494512,-8.6107884,3
1267,2019-01-01 00:00,"(41.2619218, 1.7721357)",41.2619218,1.7721357,1
1268,2019-01-01 00:00,"(41.2861022, 1.9824173)",41.2861022,1.9824173,1
1269,2019-01-01 00:00,"(41.3598601, 2.0997927)",41.3598601,2.0997927,2
1270,2019-01-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,27
1271,2019-01-01 00:00,"(41.5216963, -5.3939824)",41.5216963,-5.3939824,2
1272,2019-01-01 00:00,"(41.5629623, 2.0100492)",41.5629623,2.0100492,2
1273,2019-01-01 00:00,"(41.6521328, -4.728562)",41.6521328,-4.728562,2
1274,2019-01-01 00:00,"(41.6521342, -0.8809428)",41.6521342,-0.8809428,2
